"station"	"year"	"lon"	"lat"	"month"	"year_month"	"depth"	"bot_sal"	"bot_sal_var"	"bot_T"	"bot_T_var"	"bot_oxy"	"bot_oxy_var"
"75"	1044	2017	11.07329	58.88146	"06"	"2017.06"	75	31.613333925058	1.16812650973326	8.94513104446493	2.7301211724496	286.674429854834	20.568086867245
"76"	1044	2019	11.07329	58.88146	"05"	"2019.05"	75	31.2968281728579	1.58776027072017	7.27160059923448	1.92646083881009	311.653097568906	19.0762644179805
"77"	1045	2017	11.05067	58.90648	"06"	"2017.06"	131	31.5076228857248	1.00328842237957	9.55826752183893	2.18354381467194	274.824421198679	17.2525714739587
"78"	1045	2019	11.05067	58.90648	"05"	"2019.05"	131	30.1898559717726	1.76149523379797	7.37835251816418	1.60448126307694	315.323973037645	17.1011706837649
"79"	1046	2017	10.95838	58.85984	"06"	"2017.06"	37	32.2502342640696	1.70898557159819	12.4237710776059	4.51304194676551	286.810467007201	30.9388599089067
"80"	1046	2019	10.95838	58.85984	"05"	"2019.05"	37	33.3360037908261	1.81871152084529	7.50229166489801	4.24390945697332	309.367456501978	23.2153394056712
"81"	1047	2017	10.90395	58.93326	"06"	"2017.06"	87	33.9575849664517	0.496471274723209	10.1355602291765	3.16623349709397	282.766064149965	25.4126485008205
"82"	1047	2019	10.90395	58.93326	"05"	"2019.05"	87	35.0486115944389	0.424554113303494	6.85078852868348	3.10422024099007	298.524003370898	21.9088695906422
"83"	1048	2017	11.06	58.94538	"06"	"2017.06"	210	34.792510760741	0.67122922080718	7.03217404845441	1.48109858851801	254.506278698244	12.8767487859362
"84"	1048	2019	11.06	58.94538	"05"	"2019.05"	210	34.6059544838551	1.50432140218353	5.99893437822661	1.80538869049871	303.579586397598	14.6985891732536
"85"	1049	2017	10.99915	58.92308	"06"	"2017.06"	30	28.5123598625217	1.60980718802804	13.5433480844101	4.83529321093169	289.401466104948	32.2562435884063
"86"	1049	2019	10.99915	58.92308	"05"	"2019.05"	30	26.4946428003088	2.45558297064859	8.95866591036637	4.35333707736363	326.311481182958	24.851574489871
"87"	105	2011	15.06267	56.16767	"05"	"2011.05"	15.4	6.6444186869316	0.43552660512223	6.75514667788382	4.12971889180071	422.227926549416	37.4910071241614
"88"	105	2013	15.06267	56.16767	"05"	"2013.05"	15.4	6.99830831802109	0.510053738255019	4.10167203350498	4.55268404035567	426.294035217547	44.3330226508119
"89"	105	2015	15.06267	56.16767	"05"	"2015.05"	15.4	7.03368853828036	0.473332433420238	7.34211777091665	4.03251250204757	392.318925369377	37.209462422804
"90"	1050	2017	10.95655	58.91253	"06"	"2017.06"	36.5	33.4158792026166	0.787256827330822	11.2510926965538	3.88675200368404	287.344597904953	29.4646896475196
"91"	1051	2017	11.11379	58.80853	"05"	"2017.05"	66	32.0333357814938	1.01706959352274	7.50515234657363	2.82792791512763	224.080701399261	20.8192758135424
"92"	1051	2019	11.11379	58.80853	"05"	"2019.05"	66	34.2994473372592	1.04534598892984	8.22170685655332	2.34109203027732	284.639329307462	15.6160548685233
"93"	1052	2017	11.09617	58.85059	"05"	"2017.05"	220	30.8439164098383	0.960272665328024	8.03232995877074	2.98619708092751	258.263865765049	22.0912480734748
"94"	1052	2019	11.09617	58.85059	"05"	"2019.05"	220	31.909442161393	1.07903795508762	8.30078890379951	2.44630316988321	294.292582131208	15.0333023423255
"95"	1053	2017	11.22788	58.34995	"05"	"2017.05"	28	28.5314970077704	2.15294237522062	8.51535863243995	4.55709704303112	316.019449222696	33.2010293962038
"96"	1053	2019	11.22788	58.34995	"05"	"2019.05"	28	30.3963020767209	2.02098700035237	8.39010298730547	4.04588234906346	315.91439549704	24.3702936826163
"97"	1054	2017	11.24027	58.36737	"05"	"2017.05"	13.8	25.589654416242	2.92669296384682	9.91344918987866	5.08740780893863	320.104177599483	35.0464136258079
"98"	1054	2019	11.24027	58.36737	"05"	"2019.05"	13.8	26.8793394709958	2.93934346225118	9.04293654173238	4.75382214037264	323.232073764686	26.2809923056611
"99"	1055	2017	11.25282	58.35186	"05"	"2017.05"	22	28.3965518797517	2.36606764613913	8.98665674588221	4.63046182779657	315.875051680161	33.0207357855527
"100"	1055	2019	11.25282	58.35186	"05"	"2019.05"	22	30.3613729448704	2.17819955825861	8.57617931299208	4.19480960243908	319.157421569941	24.9197373456474
