"Size"	"Reproductive type"	"Adult life span"	"Developmental mechanism"	"Environmental position"	"Living Habits"	"Feeding method"	"Mobility"	"Movement method"	"Bioturbation"	"None"
"Gammarus"	0.325944109429142	0.300293628030708	0.314163236523101	0.317682013229184	0.317221704647056	0.348452974917596	0.337832186181475	0.341049423387151	0.322843381143482	0.316458493289794	0.323918916493612
"Gattyana amondseni"	0.234714396295664	0.241500707761395	0.228764875740803	0.25407367398519	0.210231971558924	0.243575123268232	0.231598925068278	0.245215765682106	0.218252659618927	0.233193096791738	0.234365752565656
"Glycera alba"	0.152550258874682	0.132439714935716	0.150050179383156	0.164195751290123	0.162070018915438	0.155164147156556	0.145385569594142	0.158969627294094	0.157569542494816	0.163441244964317	0.154021588499871
"Glycera unicornis (rouxii)"	0.180950219010432	0.158138148628198	0.181070936147938	0.198177025057682	0.198156377699917	0.185525829851145	0.181455434557022	0.191472544687135	0.173251031540834	0.197421772846142	0.18436395284614
"Glycinde nordmanni"	0.195758083939237	0.177795083942316	0.189373923658805	0.176220827454073	0.212498210267181	0.205101574707536	0.1868970321752	0.204277930746256	0.207027666018264	0.210852574075514	0.196308234101537
"Golfingia"	0.277169100695253	0.249279905681877	0.271217251144022	0.26587659385419	0.271909732571043	0.275296725857839	0.302665821489258	0.290037474240216	0.300466818102348	0.263211426520129	0.276340252956688
"Goniada maculata"	0.214425685466452	0.197343981507165	0.208034315581813	0.176419832861653	0.234271537439849	0.226449794988189	0.20864144804973	0.223856735273853	0.228378061425387	0.231339273167131	0.214589107847714
"Halicryptus spinulosus"	0.236958672626838	0.244246293525633	0.23098516288409	0.220389141719393	0.247316926986082	0.252310156167882	0.244428560986921	0.20893283414883	0.254720938265066	0.235665152939668	0.237145603538475
"Harpinia antennaria"	0.259606126226257	0.242008027952304	0.264313478610316	0.256786697094735	0.263737186049239	0.285031251177795	0.252276604302347	0.282750563667496	0.29907433627906	0.292859888558114	0.269555301314006
"Hediste diversicolor"	0.264862218074888	0.246074932198124	0.261074975164561	0.254715357092188	0.29607313357733	0.265563820705567	0.279333815115551	0.279485923816222	0.275880216969998	0.246726529141758	0.266535785647091
"Heteromastus filiformis"	0.234418889056427	0.243886162580887	0.230642322969616	0.238159635679939	0.260777160245509	0.230523515220687	0.257834816908832	0.208635393745549	0.232316249800389	0.235326883203293	0.236795125285716
"Hyala vitrea"	0.26123552119658	0.243638619364609	0.265946671222347	0.295299007000066	0.254277970256406	0.286727148744235	0.265944724127425	0.28441402399215	0.281061519555846	0.274401114703154	0.271091926195398
"Hydrobia"	0.288586163477101	0.309157696245228	0.293301273623611	0.306035919762483	0.285367091902194	0.317328217892529	0.283301813964392	0.312878960267746	0.291642518898574	0.286739586331382	0.297548673261667
"Idotea balthica"	0.303984300372649	0.314093322291047	0.298033931492371	0.293153080873852	0.267292126962963	0.322684295419623	0.334913529604134	0.317808909931428	0.27737344491413	0.290131726691886	0.302100312140062
"Idothea chelipes"	0.322658881277616	0.33358206639046	0.316709352275993	0.313456998785825	0.288771315998132	0.343773399837231	0.332954353696401	0.337297129585581	0.298468944837118	0.312233902669014	0.320256101083842
"Jaera albifrons"	0.302178491112359	0.323442310046676	0.306885838002988	0.303010045603111	0.301447630073147	0.333022520512469	0.322051382072862	0.327157447144497	0.287717164283671	0.301786925155594	0.31087748360325
"Labidoplax buskii"	0.168685431131288	0.172545132471145	0.167623886815136	0.182201127382121	0.163473605714368	0.173887787176089	0.178187157139199	0.176260613823972	0.176289161415655	0.142350122605391	0.170096881366
"Laonice bahusiensis"	0.181019115604962	0.187999512736225	0.177250432919331	0.19861196338664	0.198868331078604	0.191680684390847	0.193782417469686	0.152822328195783	0.193607057134799	0.175929984025691	0.18465775374815
"Laonice cirrata"	0.179121855326014	0.186018934902318	0.175353794416175	0.196547787157176	0.196686163200691	0.189538166053775	0.193750446294008	0.150847554066677	0.191464220975283	0.173869549980664	0.182810666580579
"Leucon nasica"	0.227621564109643	0.187740475837184	0.226869323633789	0.216244273668824	0.256785910817768	0.24298246089595	0.253849967554649	0.2437538789653	0.230740827284988	0.252319166629333	0.233246335645948
