"Semelparous-Monotelic"	"Iteroparous-Polytelic"	"Semi-continous"	"Fragmentation/Fission"	"Direct"	"Lecitotrophic"	"Planktotrophic"	"Ovoviviparous"	"Deep"	"Middle"	"Top"	"Interface"	"Epibenthic"	"Bentho-pelagic"	"Epilithic"	"Epifaunal"	"Attached"	"Tube dweller"	"Burrow dweller"	"Crevic dweller"	"Case builder"	"Free"	"Parasite/commensal"	"Suspension/filter feeder"	"Deposit feeder (inkl. Both)"	"Predator"	"Scavenger"	"Herbivore"	"Miner/Borer"	"Parasite"	"Grazer"	"Sessile"	"Semi-motile"	"Motile"	"No movement"	"Swimmer"	"Crawler"	"Rafter/Drifter/Byssus"	"Tube-builder"	"Burrower"	"Temporary attachment"	"No transport"	"Diffusive mixing"	"Surface deposition"	"Conveyor belt transport"	"Reverse conveyor belt transport"	"Size"	"Adult life span"
"Idothea chelipes"	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	1	1	1	0	0	0	1	0	0	0	0	3	2
"Jaera albifrons"	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	1	1	1	0	0	0	1	0	0	0	0	1	2
"Labidoplax buskii"	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	3	5
"Laonice bahusiensis"	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	5	2
"Laonice cirrata"	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	5	2
"Leucon nasica"	1	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	0	2	2
"Leucothoe lilljborgii"	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	1	2
"Levinsenia gracilis"	0	1	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	3	2
"Limecola balthica"	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	3	4
"Littorina saxatilis"	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	2	2
"Lumbrineris"	1	1	0	0	1	1	1	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	5	3
"Macoma calcarea"	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	4	5
"Magelona alleni"	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	3	3
"Magelona minuta"	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	3	3
"Magelona mirabilis"	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	5	3
